ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"92.205.236.195","elite","AS21499","FR","Host Europe GmbH","13","N/A","3128","http","198","95","995","1044","2026-01-19T13:17:28.843Z","4779"
"45.67.215.175","elite","AS201839","RU","MFC Zaymer LLC","4","Zaymer PJSC","80","http","106","100","1","1","2026-01-19T13:26:45.114Z","307"
"23.227.38.240","elite","AS13335","CA","Cloudflare, Inc.","7","Shopify, Inc.","80","http","93","100","1","1","2026-01-19T13:26:41.544Z","4803"
"216.205.52.114","elite","AS209242","US","Cloudflare London, LLC","11","Olo Inc","80","http","92","100","1","1","2026-01-19T13:26:41.545Z","3275"
"108.162.195.97","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","92","100","1","1","2026-01-19T13:26:41.543Z","3878"
"89.116.250.177","elite","AS209242","LT","Lrtc Network","11","SC \"Lithuanian Radio and TV Center\"","80","http","84","100","1","1","2026-01-19T13:26:44.638Z","1828"
"23.227.38.63","elite","AS13335","CA","Cloudflare, Inc.","4","Shopify, Inc.","80","http","81","100","1","1","2026-01-19T13:26:44.636Z","1021"
"170.114.45.163","elite","AS209242","US","Cloudflare London, LLC","3","Zoom Video Communications, Inc","80","http","78","100","1","1","2026-01-19T13:26:44.635Z","1528"
"8.35.211.86","elite","AS13335","US","Cloudflare, Inc.","7","Level 3","80","http","76","100","1","1","2026-01-19T13:26:41.614Z","2420"
"170.114.45.168","elite","AS209242","US","Cloudflare London, LLC","4","Zoom Video Communications, Inc","80","http","70","100","1","1","2026-01-19T13:26:41.546Z","1816"
"185.238.228.99","elite","AS209242","GB","Invermae Solutions SL","10","Invermae Solutions SL","80","http","35","100","1","1","2026-01-19T13:26:40.944Z","4491"
"108.162.194.240","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","32","100","1","1","2026-01-19T13:26:40.943Z","5175"
"108.162.194.9","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","28","100","1","1","2026-01-19T13:26:40.943Z","4177"
"188.114.99.113","elite","AS13335","US","Cloudflare, Inc.","7","CloudFlare, Inc.","80","http","24","100","1","1","2026-01-19T13:26:40.941Z","3578"
"104.25.31.226","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","23","100","7","7","2026-01-19T11:01:28.532Z","3079"
"69.84.182.58","elite","AS14197","US","Health Market Science","11","LexisNexis Risk Data Management Inc","80","http","20","100","1","1","2026-01-19T13:26:48.512Z","413"
